sample_id,id_ecofog,project,site,sample_type,species,reference_genome,lane,read_group,read1,read2
DSW_AAAE,IW69,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAE\tSM:DSW_AAAE\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAEOSDA_4_1_22VLJNLT4.UDI337_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAEOSDA_4_2_22VLJNLT4.UDI337_clean.fastq.gz
DSW_AAAF,IW70,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAF\tSM:DSW_AAAF\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAFOSDA_4_1_22VLJNLT4.UDI349_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAFOSDA_4_2_22VLJNLT4.UDI349_clean.fastq.gz
DSW_AAAH,IW72,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAH\tSM:DSW_AAAH\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAHOSDA_4_1_22VLJNLT4.UDI373_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAHOSDA_4_2_22VLJNLT4.UDI373_clean.fastq.gz
DSW_AAAI,IW73,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAI\tSM:DSW_AAAI\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAIOSDA_4_1_22VLJNLT4.UDI290_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAIOSDA_4_2_22VLJNLT4.UDI290_clean.fastq.gz
DSW_AAAL,IW76,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAL\tSM:DSW_AAAL\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAALOSDA_4_1_22VLJNLT4.UDI326_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAALOSDA_4_2_22VLJNLT4.UDI326_clean.fastq.gz
DSW_AAAM,IW77,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAM\tSM:DSW_AAAM\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAMOSDA_4_1_22VLJNLT4.UDI338_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAMOSDA_4_2_22VLJNLT4.UDI338_clean.fastq.gz
DSW_AAAP,IW80,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAP\tSM:DSW_AAAP\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAPOSDA_4_1_22VLJNLT4.UDI374_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAPOSDA_4_2_22VLJNLT4.UDI374_clean.fastq.gz
DSW_AAAQ,IW81,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAQ\tSM:DSW_AAAQ\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAQOSDA_4_1_22VLJNLT4.UDI291_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAQOSDA_4_2_22VLJNLT4.UDI291_clean.fastq.gz
DSW_AAAR,IW82,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAR\tSM:DSW_AAAR\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAROSDA_4_1_22VLJNLT4.UDI303_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAROSDA_4_2_22VLJNLT4.UDI303_clean.fastq.gz
DSW_AAAT,IW84,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAT\tSM:DSW_AAAT\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAATOSDA_4_1_22VLJNLT4.UDI327_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAATOSDA_4_2_22VLJNLT4.UDI327_clean.fastq.gz
DSW_AABE,IX05,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,1,@RG\tID:DSW_AABE\tSM:DSW_AABE\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABEOSDA_1_1_22VLKFLT4.UDI122_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABEOSDA_1_2_22VLKFLT4.UDI122_clean.fastq.gz
DSW_AABG,IX07,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABG\tSM:DSW_AABG\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABGOSDA_5_1_22VLJNLT4.UDI293_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABGOSDA_5_2_22VLJNLT4.UDI293_clean.fastq.gz
DSW_AABH,IX08,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABH\tSM:DSW_AABH\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABHOSDA_5_1_22VLJNLT4.UDI305_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABHOSDA_5_2_22VLJNLT4.UDI305_clean.fastq.gz
